,,"US dollar/
Dollar 
SAM

","Japanese Yen/
Yen na Seapáine
",Bulgarian lev/Lev na Bulgáire,"Czech Koruna/
Koruna na Seice
","Danish krone/
Coróin na Danmhairge","Estonian Kroon/
Kroon na hEastóine","Israeli Shekel/
Shekel Iosraelach","Pound Sterling/
Punt Steirling","Hungarian Forint/
Forint na hUngáire","Lithuanian Litas/
Litas na Liotuáine
","Latvian lats/
Lats na Laitvia","Polish Zloty/
Zloty na Polainne","New Romanian Leu /
Leu nua na Rómáine","Swedish Krona/
Coróin na Sualainne","Slovak Koruna/
Koruna Slovakian","Swiss Franc/
Franc na hEilvéise","Icelandic Krona/
Coróin na hÍoslainne
","Norwegian Krone/
Coróin na hIorua","Croatian Kuna/
Kuna na Cróite","Russian Rouble/
Rouble na Rúise","New Turkish Lira/
Lira nua na Tuirce","Australian dollar/
Dollar na hAstráile","Brasilian Real/
Real na Brasaíle","Canadian Dollar/
Dollar Cheanada","Chinese Yuan Renminbi/
Yuan Renminbi na Síne","Hong Kong Dollar/
Dollar Hong Kong","Indonesian Rupiah/
Rupiah na hIndinéise","Indian Rupee/
Rupee na hIndia","South Korean Won/
Won na Cóiré Theas","Mexican Peso/
Peso na Meicsiceo","Malaysian Ringgit/
Ringgit na Malaeisia","New Zealand Dollar/
Dollar na Nua-Shéalainne","Philippine Peso/
Peso na nOileán Filipíneach","Singapore Dollar/
Dollar Singeapóir","Thai Baht/
Baht na Téalainne","South African Rand/
Rand na hAfraice Theas"
,,USD,JPY,BGN,CZK,DKK,EEK,ILS,GBP,HUF,LTL,LVL,PLN,RON,SEK,SKK,CHF,ISK,NOK,HRK,RUB,TRY,AUD,BRL,CAD,CNY,HKD,IDR,INR,KRW,MXN,MYR,NZD,PHP,SGD,THB,ZAR
,4 Jan 16,1.0898,129.78,1.9558,27.023,7.4620,,4.2659,0.73810,315.39,,,4.2955,4.5170,9.1696,,1.0891,N/A,9.6475,7.6415,79.6738,3.2193,1.5153,4.4023,1.5172,7.1208,8.4464,15194.63,72.6170,1297.87,18.9353,4.7363,1.6146,51.393,1.5533,39.407,16.9558
,5 Jan 16,1.0746,127.88,1.9558,27.022,7.4605,,4.2144,0.73235,315.20,,,4.3084,4.5268,9.2235,,1.0847,N/A,9.5880,7.6388,78.8620,3.2009,1.4982,4.3023,1.4976,7.0074,8.3297,14879.48,71.5539,1277.02,18.5798,4.6670,1.6001,50.371,1.5310,38.816,16.7643
,6 Jan 16,1.0742,127.19,1.9558,27.026,7.4603,,4.2389,0.73440,314.81,,,4.3374,4.5224,9.2330,,1.0846,N/A,9.6225,7.6405,79.9893,3.2315,1.5187,4.3331,1.5137,7.0388,8.3271,14988.90,71.8242,1289.20,18.7480,4.7388,1.6166,50.588,1.5409,38.917,17.0032
,7 Jan 16,1.0868,127.74,1.9558,27.030,7.4596,,4.2700,0.74545,315.79,,,4.3512,4.5288,9.2780,,1.0875,N/A,9.6975,7.6400,81.7776,3.2791,1.5550,4.4001,1.5360,7.1672,8.4259,15139.18,72.7012,1306.87,19.2176,4.7904,1.6464,51.226,1.5612,39.442,17.4987
,8 Jan 16,1.0861,128.51,1.9558,27.022,7.4598,,4.2597,0.74519,315.53,,,4.3523,4.5275,9.2640,,1.0860,N/A,9.6810,7.6427,80.4134,3.2491,1.5495,4.3685,1.5321,7.1577,8.4312,15111.30,72.4206,1304.78,19.3231,4.7615,1.6450,51.204,1.5606,39.387,17.3870
,11 Jan 16,1.0888,128.33,1.9558,27.021,7.4603,,4.2827,0.74705,317.32,,,4.3646,4.5305,9.2720,,1.0863,N/A,9.6770,7.6455,81.9975,3.2872,1.5516,4.3786,1.5336,7.1554,8.4471,15076.42,72.7413,1309.12,19.4182,4.7655,1.6577,51.326,1.5607,39.491,18.0474
,12 Jan 16,1.0836,127.79,1.9558,27.021,7.4612,,4.2711,0.75080,317.75,,,4.3568,4.5333,9.2483,,1.0855,N/A,9.6388,7.6672,82.6895,3.2842,1.5460,4.3704,1.5370,7.1276,8.4094,14965.60,72.4603,1308.87,19.2772,4.7830,1.6547,51.296,1.5570,39.368,17.9737
,13 Jan 16,1.0816,127.74,1.9558,27.021,7.4614,,4.2635,0.75020,315.43,,,4.3458,4.5300,9.2460,,1.0926,N/A,9.5588,7.6670,82.3098,3.2626,1.5413,4.3214,1.5381,7.1121,8.3922,14947.98,72.3212,1301.18,19.2779,4.7382,1.6519,51.283,1.5492,39.203,17.8353
,14 Jan 16,1.0893,128.26,1.9558,27.021,7.4624,,4.2986,0.75703,315.97,,,4.3730,4.5348,9.2850,,1.0950,N/A,9.6071,7.6660,83.2007,3.3025,1.5695,4.3730,1.5647,7.1809,8.4775,15155.06,73.4516,1320.77,19.5529,4.7855,1.6903,52.076,1.5670,39.552,18.0475
